trend,macd,turn,vol,n,ret_5d,ret_10d,ret_20d,win_rate_20d
弱势多头,中性,low,normal,615,0.21,0.97,1.36,49.1
多头排列,多头,low,normal,312,-0.09,0.16,1.34,51.3
弱势多头,金叉,normal,normal,67,0.16,0.21,1.31,46.3
强势空头,中性,low,shrink_up,30,-0.08,0.88,1.29,50.0
弱势多头,中性,very_low,shrink_up,229,0.3,1.2,1.28,47.6
多头排列,多头,normal,shrink_up,41,0.47,0.12,1.26,53.7
多头排列,多头,very_low,shrink_up,71,-0.21,0.33,1.23,60.6
弱势多头,中性,high,normal,648,0.36,0.35,1.21,48.1
多头排列,多头,high,heavy_up,53,1.47,0.46,1.2,45.3
多头排列,多头,normal,normal,931,0.33,0.61,1.2,52.6
强势多头,零轴上金叉,very_high,normal,23,0.64,0.29,1.17,52.2
多头排列,中性,normal,shrink_up,220,0.93,1.49,1.16,45.9
强势空头,金叉,very_low,normal,17,0.58,0.92,1.15,58.8
强势多头,多头,low,normal,383,0.38,0.72,1.12,48.8
弱势多头,多头,normal,normal,159,0.68,0.62,1.11,49.7
多头排列,多头,high,normal,643,0.22,0.43,1.05,53.3
弱势多头,中性,normal,normal,1388,0.17,0.76,1.03,49.3
弱势多头,中性,very_low,shrink_down,321,0.03,0.78,1.02,51.4
强势空头,空头,low,shrink_down,124,-0.31,0.49,1.0,46.0
弱势多头,空头,very_high,normal,89,0.78,0.91,0.99,50.6
多头排列,中性,low,normal,507,-0.2,0.28,0.94,47.9
多头排列,空头,very_low,shrink_up,50,1.64,0.72,0.91,44.0
强势多头,死叉,very_low,shrink_down,12,-0.14,-0.19,0.88,50.0
强势多头,死叉,normal,shrink_down,25,0.31,-0.01,0.88,52.0
强势多头,多头,normal,shrink_up,112,0.77,0.89,0.87,38.4
多头排列,多头,very_high,heavy_up,379,0.31,0.15,0.83,49.6
弱势多头,中性,normal,shrink_down,125,1.01,1.34,0.8,55.2
强势空头,空头,very_low,shrink_up,334,-0.18,-0.39,0.79,44.0
多头排列,中性,very_low,shrink_up,177,0.16,0.19,0.78,48.0
多头排列,中性,normal,normal,1443,-0.08,0.22,0.77,49.3
弱势多头,金叉,low,normal,48,-0.83,-0.75,0.76,52.1
多头排列,中性,high,heavy_up,64,1.04,0.02,0.74,42.2
弱势多头,空头,high,normal,411,-0.08,0.1,0.73,50.9
多头排列,零轴上金叉,high,normal,50,-0.0,0.53,0.73,52.0
弱势多头,死叉,high,normal,34,1.19,1.55,0.71,52.9
强势多头,多头,low,shrink_down,91,0.65,1.19,0.68,42.9
弱势多头,空头,normal,shrink_down,62,-0.26,-0.55,0.68,45.2
弱势多头,中性,low,shrink_up,145,-0.23,0.17,0.67,49.0
强势空头,空头,very_low,normal,252,-0.4,-0.54,0.65,44.4
多头排列,死叉,normal,normal,111,-0.21,-0.24,0.63,48.6
强势多头,多头,very_low,shrink_up,86,-0.04,-0.27,0.61,47.7
多头排列,空头,normal,normal,165,-0.26,0.05,0.59,42.4
弱势多头,空头,very_low,shrink_up,233,-0.09,-0.22,0.56,47.6
弱势多头,金叉,high,normal,45,0.39,0.44,0.46,51.1
强势空头,空头,very_low,shrink_down,393,-0.06,0.12,0.46,46.6
多头排列,空头,very_low,normal,20,0.78,1.31,0.39,40.0
弱势多头,多头,very_low,shrink_up,22,-1.16,0.63,0.39,59.1
弱势多头,空头,normal,normal,985,-0.07,-0.09,0.36,49.0
强势空头,空头,high,heavy_up,40,1.36,0.02,0.34,50.0
弱势多头,中性,very_low,normal,167,0.37,-0.14,0.31,44.3
多头排列,中性,high,heavy_down,28,0.46,0.29,0.26,53.6
多头排列,多头,very_high,heavy_down,158,-1.34,-0.27,0.26,47.5
多头排列,死叉,low,shrink_down,17,0.86,0.82,0.23,47.1
强势多头,中性,normal,shrink_down,55,1.19,2.15,0.23,38.2
多头排列,中性,very_low,normal,116,0.15,0.32,0.21,43.1
